epochs	time	RMSE_mean	RMSE_min	RMSE_max	MAE_mean	MAE_min	MAE_max	ABS_mean	ABS_min	ABS_max	REL_mean	REL_min	REL_max	R2_mean	R2_min	R2_max	RAE_mean	RAE_min	RAE_max	MAPE_mean	MAPE_min	MAPE_max	sMAPE_mean	sMAPE_min	sMAPE_max	EV_mean	EV_min	EV_max	U2_mean	U2_min	U2_max	
16	110,55	13,91236127	8,458480576	31,76179324	11,4518032	6,363018874	27,77612161	8,753985681	-0,874353119	27,11990237	0,305940305	-0,030557493	0,947804978	0,220293717	-2,59768251	0,744848857	81,40537756	45,23164996	197,4471292	40,02254852	22,23791547	97,07389791	37,66324261	26,68668317	67,20029057	0,765661539	0,135977253	4,014555382	0,450554901	0,273929767	1,02861271	
17	116,956	13,60082667	8,439476736	20,20739663	11,15461395	6,309430967	17,6231856	8,009895174	-1,657619696	16,97817893	0,279935319	-0,057931632	0,593365061	0,291889444	-0,456241951	0,745994075	79,29280168	44,85071922	125,2747757	38,98391111	22,05063277	61,59071968	37,63464048	25,61601754	51,019231	0,674635353	0,150686354	1,60896876	0,440465785	0,273314323	0,654421016	
18	124,774	11,92998026	8,486967814	16,84762365	9,58993418	6,355908722	14,34215524	5,77326447	-5,184608291	13,33637262	0,201768013	-0,181195252	0,466088712	0,474553016	-0,01225542	0,74312732	68,17024349	45,1811073	101,9515042	33,51556076	22,21306643	50,12394939	34,57483827	25,0935412	44,39973456	0,452273816	0,109699552	1,065148166	0,386355053	0,274852333	0,545614024	
19	129,935	12,00874423	8,320733114	17,26610942	9,651657119	6,15041632	14,760062	5,998857656	-3,508276576	13,96148099	0,209652198	-0,12260966	0,487935429	0,457424965	-0,063167724	0,753091529	68,60900226	43,72036035	104,922203	33,73127433	21,49489746	51,58447863	34,38336881	24,32626972	45,1936674	0,479727823	0,126282297	1,13359224	0,388905842	0,269468785	0,559166778	
20	136,492	12,65712237	8,605038745	23,64724581	10,28808117	6,528236212	20,70705165	7,481406417	-1,086242873	20,14668697	0,261465331	-0,037962762	0,704100256	0,382569456	-0,994223996	0,735930364	73,13303565	46,40610079	147,1965007	35,95549281	22,81532838	72,36842661	35,02786494	26,73534713	56,52463058	0,582953656	0,125167469	2,225762368	0,409903712	0,278676086	0,765821293	
21	147,006	12,50466788	9,486027721	18,05485792	10,12433383	7,251738637	15,01214498	7,662456179	3,186331711	13,44863087	0,267792782	0,11135811	0,47001199	0,422791465	-0,162521401	0,679091231	71,96903432	51,54913259	106,71414	35,38321736	25,34387435	52,46547556	34,53251016	27,28102784	45,54483726	0,533570488	0,231138726	1,16657597	0,404966439	0,307207109	0,584710573	
22	151,256	13,44018344	8,229296443	37,12293922	11,10952367	6,061338488	35,47970279	3,149677406	-35,32962042	15,96088801	0,11007709	-1,234723844	0,557812079	0,207855432	-3,914705677	0,758488275	78,97227646	43,08714876	252,2081938	38,82632648	21,18358214	123,9969026	44,38772214	24,60874708	199,1992171	0,479337997	0,111126932	1,56266657	0,435263318	0,266507588	1,202234609	
23	158,705	12,63235329	8,742699548	21,59131817	10,23143239	6,594165088	18,4929746	7,74834157	1,910019057	17,78041454	0,270794364	0,066752658	0,621402142	0,383885155	-0,66253624	0,72741377	72,73034662	46,87475756	131,4576887	35,75751276	23,04574114	64,63051804	34,54923086	26,1342653	52,55689645	0,580982806	0,177230863	1,775306957	0,409101559	0,283134261	0,699239622	
24	165,857	11,22795177	8,489922795	22,71182707	8,9520797	6,368598983	19,87661239	5,128156713	-1,34943099	19,23861351	0,179222344	-0,047160841	0,672364281	0,506513895	-0,839572682	0,742948414	63,63604186	45,27131628	141,2933062	31,28634311	22,25741722	69,46615042	32,3584256	25,19125606	55,30322831	0,43084313	0,149757745	2,04667414	0,363619705	0,27494803	0,73552755	
25	170,939	11,86957327	8,711005073	16,14899079	9,511254273	6,556032501	13,59047183	5,495611032	-6,06241171	12,42866953	0,19206439	-0,211873329	0,434365681	0,479848351	0,069955819	0,729386574	67,61094576	46,60369128	96,60814732	33,24058482	22,91247276	47,49691458	34,89790366	25,89702615	48,7197923	0,443136142	0,107087593	0,956725254	0,384398759	0,282107829	0,522988644	
