h_neuron	time	RMSE_mean	RMSE_min	RMSE_max	MAE_mean	MAE_min	MAE_max	ABS_mean	ABS_min	ABS_max	REL_mean	REL_min	REL_max	R2_mean	R2_min	R2_max	RAE_mean	RAE_min	RAE_max	MAPE_mean	MAPE_min	MAPE_max	sMAPE_mean	sMAPE_min	sMAPE_max	EV_mean	EV_min	EV_max	U2_mean	U2_min	U2_max	
16	18,221	25,92480111	9,430530115	60,59749188	22,10224244	7,123621261	52,61835606	8,277390757	-44,59294878	52,31497481	0,289283938	-1,558465007	1,828339678	-2,29887999	-12,09550059	0,682835173	157,114243	50,6384076	374,0386615	77,24443521	24,89612095	183,8942454	67,91791698	29,08370724	147,4765718	2,72777529	0,121811364	14,5908819	0,839580426	0,305409807	1,962463197	
17	18,926	30,0745404	9,015709377	90,97935421	25,39573772	6,792796245	78,73472239	12,74217658	-35,60620455	78,46132583	0,445322341	-1,244390096	2,742120315	-4,154951883	-28,5187869	0,710123764	180,5261216	48,2867312	559,6873863	88,75476878	23,73993096	275,1675166	68,69204979	28,8087015	131,3925427	4,841703633	0,110444237	32,77171924	0,973970652	0,291975745	2,946386538	
18	19,678	21,33507576	8,852322097	44,39076989	18,07652288	6,499576213	38,92291175	9,169533309	-23,03973567	38,59669865	0,320463149	-0,805208509	1,348903939	-1,030990201	-6,027456414	0,720535131	128,497333	46,2023706	276,6843152	63,17507395	22,71516544	136,0304658	58,79886043	25,10358209	127,9967978	1,841129197	0,108229171	7,926923149	0,690941154	0,286684412	1,437604916	
19	20,332	24,53543578	9,574377608	67,92959588	20,95038747	7,345890753	59,0299221	10,74230585	-24,34902888	58,7982958	0,375429484	-0,850966588	2,054923234	-2,051295623	-15,45624968	0,673085706	148,9262583	52,21841484	419,61541	73,21885332	25,67292364	206,3018269	65,12074117	27,52454825	130,4682745	2,978887005	0,136232319	18,3704204	0,794585522	0,31006834	2,199915009	
20	21,392	36,20735965	9,786577381	76,84387545	31,27304641	7,537463004	67,30008642	21,85734924	-31,94121019	67,13558694	0,763885656	-1,116303356	2,346300612	-5,163491737	-20,05868872	0,658434125	222,3050908	53,58021011	478,4040424	109,2951909	26,3424435	235,2049653	75,90333943	32,95235077	130,3131565	6,31705116	0,110857346	23,78122149	1,172583362	0,316940476	2,488605928	
21	35,232	30,1636263	8,88541152	70,13574165	26,0895112	6,673627609	62,50081449	21,03250712	-26,11238741	62,39380433	0,735058507	-0,912593653	2,180581536	-3,472299642	-16,54250439	0,718441982	185,4578246	47,43961851	444,2883196	91,17941597	23,32345222	218,43214	64,11594641	29,04969907	131,1849476	4,794418241	0,125377864	20,3051101	0,976855719	0,28775602	2,271361529	
22	34,263	35,8016462	8,789051834	76,22135757	30,83595479	6,435680975	66,67750548	17,39914466	-45,81110004	66,51492281	0,60807726	-1,601037795	2,324609215	-4,669223353	-19,71887477	0,724515697	219,1980161	45,74816999	473,978413	107,7676131	22,49185998	233,0291266	78,17759498	24,89182817	143,2648835	5,099626343	0,172201114	23,35977039	1,159444242	0,28463539	2,468445548	
23	34,436	35,31560621	8,610116396	91,02412488	30,44085171	6,260846299	80,50038161	18,60968113	-61,74764339	80,37505018	0,65038392	-2,157999059	2,809002468	-5,273483507	-28,54784626	0,735618628	216,3894177	44,50535412	572,2386111	106,3867797	21,88083574	281,3382637	72,68723585	24,25644076	150,3091597	5,676605442	0,182281247	33,83979183	1,14370373	0,278840527	2,947836446	
24	35,307	31,58732679	8,470391626	83,30327525	27,02966739	6,141895202	70,44103304	7,608183161	-69,68764863	54,00700643	0,265896012	-2,435491817	1,887473961	-4,137203771	-23,74782066	0,744129754	192,1409441	43,65978781	500,7315258	94,46513843	21,46511728	246,1821613	73,34795945	24,18272491	156,1942207	3,601096378	0,132175338	15,23541432	1,022962575	0,274315509	2,697795021	
25	35,81	29,69829923	9,227230732	84,55942023	25,47013058	6,927882767	71,35729764	7,94609021	-70,42432799	44,162327	0,277705419	-2,461237793	1,543415342	-3,185544002	-24,49980149	0,696362388	181,0549448	49,24699651	507,2448114	89,01476206	24,21204061	249,3843857	73,07221012	26,22500541	156,7838995	2,72071481	0,130036821	10,39832692	0,961785999	0,298825911	2,738475555	
