l_rate	time	RMSE_mean	RMSE_min	RMSE_max	MAE_mean	MAE_min	MAE_max	ABS_mean	ABS_min	ABS_max	REL_mean	REL_min	REL_max	R2_mean	R2_min	R2_max	RAE_mean	RAE_min	RAE_max	MAPE_mean	MAPE_min	MAPE_max	sMAPE_mean	sMAPE_min	sMAPE_max	EV_mean	EV_min	EV_max	U2_mean	U2_min	U2_max
0,015	8,795	14,40410513	9,308549695	20,29436997	11,34479845	6,746897067	16,43277881	2,146697962	-12,13436271	12,64452817	0,075024275	-0,424080044	0,441909657	0,226076381	-0,468804359	0,69098693	80,64473212	47,96045595	116,8127447	39,64858098	23,57951935	57,43040425	42,76517194	26,0864596	78,0467647	0,511935005	0,139949015	1,340425072	0,466480135	0,301459444	0,657237667
0,016	8,761	14,2918502	9,657975894	27,90923674	11,24496254	7,302022918	23,44754848	2,093331309	-16,880732	20,65930217	0,073159181	-0,589959418	0,722015484	0,178461763	-1,777849582	0,667351905	79,93504648	51,90657944	166,6773785	39,29966757	25,51961131	81,94610317	41,5188841	28,07873677	99,29997795	0,563042328	0,096884757	2,806164134	0,462844734	0,312775689	0,903846814
0,017	8,772	14,75178867	10,30196327	43,69497792	11,96058953	7,911904377	42,4663737	-0,142754923	-42,35975935	10,13750321	-0,004989097	-1,480417969	0,354292426	0,053277352	-5,808882734	0,621511402	85,02209556	56,24193428	301,873087	41,80068992	27,65106693	148,4144001	46,92226314	31,15849687	199,257001	0,399434763	0,140135499	0,881007754	0,477739944	0,333631362	1,415071539
0,018	8,839	16,08188415	8,923212474	47,09277744	13,10456711	6,620760421	45,63888403	-0,779757991	-45,53670145	14,36680301	-0,027251518	-1,591447924	0,502100901	-0,165371859	-6,908997099	0,716041238	93,15408367	47,06381103	324,4249417	45,79874138	23,13868834	159,5019071	50,94696886	27,06458628	199,3061011	0,482128607	0,135751164	1,751321321	0,52081538	0,288980213	1,525110029
0,019	9,074	13,70723643	9,681193954	27,15264225	10,75956296	7,219113792	22,70512502	2,489733808	-12,27746528	20,87839512	0,087012927	-0,429081291	0,729672495	0,275967894	-1,62928099	0,665750591	76,48457364	51,31721821	161,3998461	37,60325978	25,2298548	79,35143066	39,72266395	27,27563377	76,39545596	0,509598608	0,113145341	2,688117544	0,443911888	0,313527611	0,879344334
0,02	8,849	12,83132025	9,29041805	22,55708529	9,91813125	7,023688442	19,09324096	3,095249827	-7,268491858	17,36412857	0,108174917	-0,254024247	0,606853494	0,382150506	-0,814591071	0,692189578	70,50323908	49,92803311	135,7246944	34,66256643	24,54686887	66,72837015	35,38712934	27,96851972	53,53166042	0,445160391	0,153226311	1,876590564	0,415545149	0,300872246	0,730516204
0,021	8,892	15,54765537	8,957667551	54,03832746	12,41053166	6,557894013	47,19496475	5,316924639	-9,139780598	46,65295743	0,185819535	-0,319423331	1,630459605	-0,190227732	-9,413976745	0,713844112	88,22051843	46,61692388	335,4863733	43,3731786	22,9189785	164,9402049	40,71317613	25,98515956	87,78249253	1,069779482	0,127780785	11,66551259	0,503514263	0,290096048	1,750043204
0,022	8,866	13,88495486	10,05837123	33,81430928	11,01322777	7,594595302	28,77955895	2,091216717	-12,92622307	27,21742231	0,073085278	-0,451754523	0,951213172	0,224850354	-3,077686632	0,639198673	78,28775515	53,98633621	204,5800841	38,48978499	26,54211338	100,5807796	41,76434646	28,57155856	78,66714348	0,549736823	0,135187428	4,321593368	0,449667339	0,32574258	1,095083896
0,023	8,896	14,73891001	10,01156804	43,44263496	11,85230918	7,40013038	42,10025637	0,407604254	-41,9909006	21,30836914	0,014245233	-1,46752684	0,744699523	0,025865954	-5,730465837	0,642548592	84,25238251	52,60397834	299,2705345	41,42226433	25,86248401	147,1348681	46,38721988	27,6251471	199,2628868	0,454740242	0,141008089	2,590560642	0,477322865	0,324226848	1,406899356
0,024	8,949	14,44316748	9,134657408	33,67472246	11,38727173	6,551088827	27,89159639	3,354712438	-9,77870704	25,15353321	0,117242795	-0,341752971	0,879082958	0,13996897	-3,044090412	0,702424389	80,94665426	46,56854907	198,2679841	39,7970195	22,89519527	97,4774671	40,22872442	25,56395124	69,03904304	0,660694905	0,124846029	4,048969821	0,467745178	0,295827904	1,090563346
