l_rate	time	RMSE_mean	RMSE_min	RMSE_max	MAE_mean	MAE_min	MAE_max	ABS_mean	ABS_min	ABS_max	REL_mean	REL_min	REL_max	R2_mean	R2_min	R2_max	RAE_mean	RAE_min	RAE_max	MAPE_mean	MAPE_min	MAPE_max	sMAPE_mean	sMAPE_min	sMAPE_max	EV_mean	EV_min	EV_max	U2_mean	U2_min	U2_max
0,003	9,149	16,85641799	11,55087035	29,89242239	13,42561548	8,665771093	25,05711026	3,705490845	-10,07019105	23,63114662	0,12950204	-0,351939955	0,825877546	-0,125154386	-2,186654847	0,524180512	95,43626258	61,60081126	178,1189813	46,92076328	30,28573212	87,57131024	46,43232857	32,13682315	75,45235388	0,846995569	0,123677277	3,240908172	0,54589883	0,374077495	0,96807272
0,0032	8,881	15,14750242	9,705890885	32,55035268	12,0211823	7,296695328	28,16563663	1,712647786	-11,16470349	26,86856884	0,059854791	-0,390191727	0,939021202	0,091776997	-2,778541559	0,664043061	85,4528205	51,86870815	200,2160047	42,01245369	25,50099209	98,43520176	44,33310448	27,49154715	68,17683456	0,622765985	0,147235377	4,11162236	0,490555221	0,314327426	1,054150382
0,0034	8,872	20,05052183	10,53490808	35,06952313	16,37466186	7,637579249	30,10936689	2,975062296	-27,93675463	29,14346761	0,103974521	-0,976352892	1,018525927	-0,637647274	-3,386039383	0,604201351	116,3996191	54,29188849	214,0330511	57,22729315	26,69233663	105,2282838	57,39214283	28,25812354	139,9174436	1,141692592	0,14856007	4,739559747	0,649340591	0,341175332	1,135734275
0,0036	8,939	18,76999079	8,766825243	59,07491556	15,46709008	6,507081599	57,92799634	-3,416175295	-57,85414713	18,43898904	-0,119390841	-2,021926477	0,644418456	-0,653347712	-11,44569132	0,725907277	109,9481266	46,25572279	411,7823481	54,05544895	22,74139578	202,450741	58,24398603	26,68291036	199,4303275	0,622011697	0,118884619	3,232574349	0,60787031	0,283915577	1,913154226
0,0038	8,931	17,78111045	10,31814301	42,36973618	14,30396636	7,464659626	35,67554283	3,91099639	-14,07192275	33,75766224	0,136684189	-0,491795223	1,17978597	-0,346693346	-5,4021276	0,620321599	101,6800378	53,0626858	253,6003267	49,99048426	26,08800525	124,6813378	48,99623128	28,03894415	86,54780905	1,055345189	0,156497317	6,68900351	0,5758452	0,334155347	1,372153291
0,004	8,885	15,87492845	10,1275442	29,21628863	12,48146621	7,374260675	24,31343774	3,097628903	-12,52327735	19,67373822	0,108258063	-0,4376721	0,687571318	0,006293401	-2,044127922	0,634219036	88,72475813	52,42008301	172,83257	43,62108553	25,77207279	84,97227244	43,94903468	27,92425009	71,79408072	0,69757296	0,152357333	2,933032121	0,514113074	0,327982762	0,946175979
0,0042	8,839	15,44850664	10,08132005	32,15781324	12,16626322	7,261645469	26,91733378	-2,319657278	-24,36649318	6,599473249	-0,081068976	-0,851576942	0,230642925	0,044598349	-2,687956785	0,637550412	86,48413125	51,61955551	191,3424183	42,51949248	25,37849743	94,0725472	49,93965774	27,32240065	131,146696	0,392282034	0,124307604	0,729924516	0,500303309	0,326485783	1,041437905
0,0044	8,823	17,88656706	10,54593655	51,79305745	14,68984325	7,8728019	50,27063481	-2,060321309	-50,17233356	13,7951683	-0,072005524	-1,75345718	0,482123018	-0,412360515	-8,566562305	0,603372234	104,4230515	55,96397351	357,3498369	51,33907332	27,51440891	175,6892679	55,92495796	29,09450155	199,3428044	0,560288529	0,129357673	1,439789766	0,579260436	0,341532491	1,677329638
0,0046	8,907	14,89479699	11,41821563	22,08218326	11,72195376	8,256172059	17,56556076	0,4043321	-11,89512102	11,45793797	0,014130876	-0,415718861	0,400439887	0,185164512	-0,738988963	0,535046751	83,32574833	58,68916814	124,8651484	40,96668925	28,85423728	61,38932843	45,09707613	30,68933588	77,41540975	0,474991306	0,153802981	1,464069643	0,4823713	0,369781442	0,715136396
0,0048	8,86	19,65567833	10,56159588	60,77821868	16,38911901	8,266620347	59,12584365	0,161045263	-59,05114504	19,43261233	0,00562832	-2,063759982	0,679144285	-0,801566948	-12,17372948	0,602193479	116,5023881	58,76344001	420,2972703	57,27781899	28,89075267	206,6370601	59,49810624	31,58489417	199,4096919	0,755661608	0,143560957	2,438820335	0,636553496	0,342039622	1,968316075
