epochen	l_rate	time	RMSE_mean	RMSE_min	RMSE_max	MAE_mean	MAE_min	MAE_max	ABS_mean	ABS_min	ABS_max	REL_mean	REL_min	REL_max	R2_mean	R2_min	R2_max	RAE_mean	RAE_min	RAE_max	MAPE_mean	MAPE_min	MAPE_max	sMAPE_mean	sMAPE_min	sMAPE_max	EV_mean	EV_min	EV_max	U2_mean	U2_min	U2_max
16	0,016	147,297	11,70910691	8,792845026	19,88213667	9,349704258	6,584854344	16,88100022	5,243710053	-6,372780576	15,49470278	0,183260781	-0,222720313	0,541519517	0,480785552	-0,409739653	0,724277858	66,46256417	46,80857194	119,9989357	32,67598873	23,01320131	58,99687921	33,93846685	25,37621445	49,5252624	0,441458639	0,114893193	1,469810394	0,379202021	0,284758234	0,6438874
17	0,016	157,204	12,77676683	8,950528631	23,34725638	10,29582847	6,781144788	19,9324231	6,563368581	-6,367572949	18,56297686	0,229381114	-0,222538314	0,648751667	0,378238494	-0,943947407	0,714300041	73,18810752	48,20390658	141,6900378	35,98256863	23,69921064	69,66120153	36,23383564	27,25629842	55,0348018	0,552188315	0,139916092	2,054860194	0,413778424	0,289864852	0,756106069
18	0,016	165,015	12,75465462	8,073519115	24,35162777	10,30498497	5,862790778	21,12507987	6,395972194	-3,394101933	20,3890485	0,22353083	-0,118619406	0,712570473	0,370911833	-1,114797554	0,767545177	73,25319667	41,6757683	150,1680628	36,01456938	20,48968396	73,82938032	36,45414805	23,88721447	56,73654513	0,564598182	0,127922799	2,321494561	0,413062315	0,261462705	0,788632859
19	0,016	175,544	11,90645342	8,549268313	21,67978887	9,557359385	6,41131446	18,51505453	5,831817572	-2,219776485	17,24322356	0,203814367	-0,077578274	0,602628022	0,45801008	-0,67618868	0,739342215	67,93868489	45,57496012	131,6146443	33,40171613	22,4067022	64,70768448	33,90479871	27,90744644	52,42327697	0,477758609	0,123039596	1,772638971	0,385593131	0,276869948	0,702104765
20	0,016	183,992	13,12630403	8,553456039	22,34897003	10,65587604	6,45151986	19,46352399	7,892702422	-1,793136578	18,71428802	0,275839586	-0,062667769	0,654039794	0,338948049	-0,78126212	0,739086794	75,74751306	45,86076103	138,3568588	37,24088761	22,5472148	68,02246069	35,85701927	27,6998239	54,52942376	0,622474591	0,131135304	1,962512966	0,425098264	0,277005568	0,723776345
21	0,016	193,112	13,12729375	8,397291697	21,24856899	10,67518321	6,28825193	18,36385668	8,058454707	-0,841795852	17,33402101	0,281632411	-0,02941966	0,605801274	0,351760756	-0,610171668	0,748527045	75,88475847	44,70016761	130,5398513	37,30836364	21,97661482	64,17926786	36,04792874	26,29796	52,52473058	0,61010442	0,138917528	1,740923199	0,425130316	0,271948152	0,688139613
22	0,016	201,229	12,11899193	8,748047651	21,26684021	9,73068525	6,596313881	18,26518577	6,02532837	-1,363400342	17,10366218	0,210577315	-0,047649052	0,597750535	0,436981206	-0,612941968	0,727080174	69,17077535	46,89003229	129,8384471	34,00746727	23,05325089	63,83442599	34,4330696	26,60990981	52,27386951	0,497757563	0,133024787	1,723001597	0,392476238	0,283307461	0,688731331
23	0,016	210,006	13,03857184	8,894635107	20,37558025	10,56483579	6,745283618	17,2767442	8,018774344	0,867129295	16,4656341	0,280245634	0,03030503	0,575452292	0,360163493	-0,480583062	0,717857131	75,10035151	47,94898672	122,8120899	36,92271386	23,57388056	60,37995246	35,51871194	27,37615998	49,60891233	0,598715215	0,167319556	1,566539056	0,422257037	0,288054728	0,65986768
24	0,016	220,192	12,60905495	8,782948555	22,28046889	10,19029711	6,69821266	19,01075878	6,534449396	-3,979158727	17,69232638	0,228370426	-0,139066373	0,618323576	0,389168969	-0,770359471	0,724898167	72,43793567	47,61438185	135,138368	35,61375037	23,40937374	66,44010573	35,59578794	26,75684134	53,33607211	0,550286681	0,136124163	1,869346043	0,408347038	0,284437734	0,72155792
25	0,016	229,229	12,68119995	9,252628011	19,34442661	10,29865285	7,147469966	16,60177944	7,215103849	-2,354569624	15,65297017	0,252158406	-0,082289117	0,547050754	0,397476086	-0,334518285	0,694688607	73,20818468	50,80793661	118,0140891	35,99243946	24,97946904	58,02103928	35,90965599	28,39838488	49,11135394	0,554988058	0,142381522	1,428479671	0,410683469	0,299648408	0,62647354
